drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
ABT737,-0.3637769,-0.35483247,-0.9939239,0.51658815,0.009303508,2.5190382,0.32017413,-0.40313616,1.6653771,-0.27510762,-0.6921142,0.4253808,1.655927,0.06706147,0.38861135,0.46150637,-0.52136886,0.108363494,1.9846281,1.0205302,-0.64369833,-0.028636985,-0.87359977,0.2799152,3.2952056,0.12459246,-0.05914633,-0.2948111,0.32860368,-0.7644227,0.6450838,-1.0053955
AC220,-0.3620761,-0.32275406,-0.9929888,0.338701,-0.0073875072,2.2536857,0.3452464,-0.41444933,1.4690902,-0.2626526,-0.6405762,0.25594324,1.0507915,-0.034982316,0.3153547,0.39231363,-0.51292086,0.023730606,2.0653002,0.6907403,-0.6315736,0.035996925,-0.882776,0.13524146,2.6572154,0.12546998,-0.04733912,-0.23465994,0.341458,-0.7334035,0.68680155,-1.0204194
ACY-1215,-0.37003228,-0.3578988,-0.98378193,0.2906042,-0.0045422134,1.94593,0.29884616,-0.3961957,1.1981739,-0.26488686,-0.6921142,0.23746835,1.1536406,0.0127049945,0.3438996,0.40172553,-0.51788265,0.0061923363,1.6506796,0.6778085,-0.630476,0.04174039,-0.87880844,0.18977857,2.4781501,0.12133705,-0.05706901,-0.26545188,0.3415084,-0.86741674,0.60269934,-1.0205299
ACY-738,-0.36190987,-0.43890363,-1.0015695,0.2720124,0.037879925,1.8522006,0.35265338,-0.40758982,1.3351812,-0.2744492,-0.6921142,0.23610064,1.1067728,0.004626378,0.37050298,0.40172553,-0.5264484,0.0201917,1.8238175,0.6151211,-0.6327872,0.008648532,-0.8853279,0.17970426,2.3925624,0.09437502,-0.06566478,-0.28685367,0.12196906,-0.90573007,0.52213115,-1.0185932
Afatinib,-0.356147,-0.3609297,-0.9857981,0.39018133,-0.02713558,2.1733255,0.32992885,-0.40117294,1.5431726,-0.25464314,-0.69703424,0.33573887,1.355124,0.017447472,0.28971028,0.40596423,-0.50603,0.09524919,1.9069124,0.7991906,-0.6239547,0.04305394,-0.8834366,0.18162267,2.8479002,0.13710415,-0.043570336,-0.25739175,0.28819007,-0.7636201,0.61600745,-1.0130807
Afuresertib,-0.36945042,-0.39864558,-0.9624113,0.4796601,-0.008468606,2.3958871,0.30606306,-0.39012533,1.8026946,-0.28857562,-0.6582045,0.4170867,1.558945,0.06759493,0.29058734,0.4423803,-0.5213242,0.13790864,1.8887829,0.96389174,-0.6455095,-0.034078334,-0.8785264,0.20925625,3.1714623,0.08100033,-0.07908408,-0.32848188,0.21734588,-0.7618014,0.4661791,-1.0112997
AGI-5198,-0.35797977,-0.3738523,-0.9421154,0.2433842,-0.0050009405,1.797194,0.32014787,-0.40517715,1.24767,-0.280488,-0.6093025,0.19167952,0.998888,-0.043471538,0.43542144,0.40186793,-0.5068857,0.0029199934,1.7417,0.56063914,-0.6281876,-0.025876412,-0.88695306,0.118477456,2.3061774,0.097738296,-0.06960897,-0.3095651,0.24863385,-0.75427115,0.67221403,-1.022997
AGI-6780,-0.35939655,-0.43756902,-0.99837685,0.49069145,-0.010625988,2.523792,0.31444833,-0.4144494,1.6606567,-0.2790788,-0.70552903,0.40198064,1.6255009,0.06143885,0.34665743,0.47255096,-0.51292086,0.10143985,2.0216327,0.9869652,-0.6329601,-0.01435092,-0.88277596,0.27448785,3.2961931,0.11259019,-0.06114467,-0.28427702,0.17934921,-0.8964118,0.5671834,-1.0204194
AICA Ribonucleotide,-0.37873757,-0.44814038,-0.9192005,0.62008184,-0.025819674,2.8375645,0.3679357,-0.41408914,1.6608181,-0.27402672,-0.66320837,0.45249134,1.9684478,0.10962529,0.15038145,0.37922397,-0.54050636,0.1312842,2.242172,1.156146,-0.6427467,0.026861044,-0.88180166,0.3835437,3.6579103,0.17783335,-0.058683705,-0.27015322,0.08226323,-0.84670764,0.31191853,-1.0492421
AICA_Ribonucleotide,-0.37873757,-0.4481404,-0.9192005,0.62008184,-0.025819674,2.8375645,0.3679357,-0.41408914,1.6608181,-0.27402672,-0.66320837,0.4524913,1.9684477,0.10962529,0.15038143,0.37922397,-0.54050636,0.1312842,2.242172,1.156146,-0.6427467,0.026861044,-0.88180166,0.38354373,3.6579103,0.17783335,-0.05868369,-0.27015322,0.08226323,-0.84670764,0.31191853,-1.0492421
AKT inhibitor VIII,-0.39089668,-0.4242679,-0.94118553,0.18260965,0.019720165,1.7757554,0.31675506,-0.484438,1.2517935,-0.24895674,-0.6921142,0.17560585,0.9235986,-0.09912113,0.3830442,0.40172553,-0.5772859,0.02065491,1.7582029,0.49942434,-0.67618483,0.06849434,-0.85516316,0.07724036,2.2477863,0.17620851,-0.029451197,-0.20897059,0.16595992,-0.9358356,0.57548946,-1.0414388
AKT_inhibitor_VIII,-0.39089668,-0.42426783,-0.94118553,0.18260965,0.019720165,1.7757554,0.31675506,-0.484438,1.2517935,-0.24895674,-0.6921142,0.17560585,0.9235986,-0.09912113,0.3830442,0.40172553,-0.5772859,0.02065491,1.7582029,0.49942434,-0.67618483,0.06849434,-0.85516316,0.07724036,2.2477863,0.17620851,-0.029451184,-0.20897059,0.16595992,-0.9358356,0.57548946,-1.0414388
Alectinib,-0.37528092,-0.30948058,-0.88257974,0.2845124,0.024950184,1.9671621,0.36283162,-0.42326412,1.2808275,-0.26414478,-0.6052063,0.21633485,0.86038786,-0.017901102,0.42699665,0.34446824,-0.46215674,0.052194275,1.8785214,0.53377974,-0.6099405,0.05612725,-0.7592635,0.12156376,2.4616368,0.17889616,-0.028395098,-0.23792873,0.24018465,-0.7348303,0.6241502,-0.91646993
Alisertib,-0.3712931,-0.445786,-0.98844874,0.37259927,0.0004290604,2.1625223,0.31646228,-0.4195,1.5786852,-0.26517397,-0.72627527,0.32528874,1.2715604,0.009857623,0.26359826,0.4354425,-0.5341553,0.07473867,1.8034956,0.7910762,-0.6442167,0.09000299,-0.89517605,0.16826718,2.779393,0.14407177,-0.033825032,-0.24793318,0.0269595,-0.8737536,0.30364314,-1.0319965
Alpelisib,-0.36230946,-0.3998441,-0.9697199,0.50322324,-0.0022783019,2.3245556,0.32937744,-0.4077731,1.4589872,-0.26911628,-0.67148334,0.28953108,1.5007626,-0.026340563,0.36313432,0.38741308,-0.5080691,0.032567795,2.0018218,0.7645592,-0.6277913,-0.012407186,-0.85849196,0.2871455,3.1608455,0.09594117,-0.05690608,-0.2878209,0.2229996,-0.7340517,0.54062223,-1.0060222
AMG-319,-0.4051792,-0.38481522,-0.967582,0.23196541,0.0029183622,1.7564739,0.3211104,-0.427131,1.2036902,-0.2514967,-0.653978,0.18819351,0.96862245,-0.088799976,0.31022915,0.39552292,-0.5373218,-0.007490975,1.6350921,0.50597674,-0.6524354,0.06737082,-0.93280405,0.08802818,2.3012886,0.15069216,-0.030378819,-0.21482043,0.18043084,-0.71093345,0.40833113,-1.1238953
AMG900,-0.4459409,-0.41805774,-0.95489746,0.26391262,-0.012440009,1.9503644,0.29911193,-0.46949893,1.484898,-0.25401285,-0.66009974,0.2699394,0.986609,-0.081267595,0.32074678,0.4420134,-0.57745063,0.022806993,1.7410216,0.63766575,-0.6869401,0.050122194,-0.89105266,0.065383576,2.4377131,0.12705165,-0.053750236,-0.25195172,0.08357236,-0.83239096,0.37236306,-1.1436366
Amuvatinib,-0.4836855,-0.45844278,-0.98826504,0.38930267,-0.019400423,2.189159,0.31117764,-0.515843,1.5204726,-0.25026867,-0.6950239,0.35955387,1.323371,0.09572646,0.3567353,0.37934262,-0.605701,0.09182066,1.7620945,0.8694668,-0.75909275,0.0804401,-0.9631792,0.21238348,2.816304,0.13195425,-0.040397387,-0.21851295,0.044246092,-0.969784,0.4626433,-1.3116747
Anastrozole,-0.37045798,-0.38163328,-0.92337394,0.25944462,0.0091241505,2.0596032,0.32747784,-0.39381218,1.2468585,-0.26053384,-0.6559379,0.19612406,0.9588183,-0.011423784,0.26630986,0.3857959,-0.44041666,0.03729823,1.8498687,0.64313686,-0.5939648,-0.036729656,-0.8057966,0.13603505,2.5717847,0.10874802,-0.049025342,-0.31879044,0.18655469,-0.71481025,0.5183904,-0.9383351
Apitolisib,-0.36840123,-0.42512143,-0.96009314,0.25422207,-0.018442031,1.9628841,0.3114222,-0.3999734,1.4326682,-0.25670576,-0.6532631,0.24177578,1.0885028,-0.047995407,0.34062588,0.40259135,-0.52062404,0.009907618,1.7500285,0.6519013,-0.6262829,0.081169985,-0.8942616,0.12131342,2.4841466,0.12225602,-0.049539357,-0.23286597,0.17737544,-0.76754725,0.53584456,-1.0264819
AR-42,-0.35508993,-0.3039767,-0.97443086,0.30545634,-0.009698944,2.0273864,0.31656432,-0.40758982,1.1917945,-0.28018293,-0.63091666,0.23610067,1.0890088,0.004626378,0.3438996,0.40172553,-0.5073758,0.020191733,1.8480334,0.63590276,-0.6098523,-0.055118848,-0.8796369,0.1797043,2.38509,0.09851713,-0.06958491,-0.31299883,0.35870638,-0.7167314,0.6314613,-1.0087236
Ara-G,-0.37867594,-0.4622401,-0.9346418,0.19322419,-0.03112704,1.7248801,0.36793563,-0.41027337,1.2559025,-0.25998256,-0.667273,0.21905161,0.96405804,-0.036852002,0.15650941,0.37359682,-0.57509774,0.025489608,1.6779702,0.5175847,-0.6578367,0.06309773,-0.8480629,0.07989324,2.2706542,0.18079239,-0.051208884,-0.24936278,0.09269935,-0.86421853,0.33785686,-1.0268714
ARRY-520,-0.34883717,-0.35033333,-0.9722212,0.29820773,-0.030621836,1.9942861,0.35765043,-0.3885963,1.4551799,-0.27952716,-0.6921142,0.25082672,1.0881,-0.017439738,0.3438996,0.40172553,-0.5054966,0.030286426,1.8209126,0.63591,-0.6323203,0.024919884,-0.8492631,0.14340502,2.6200519,0.08412003,-0.08296092,-0.32159188,0.2830132,-0.7931348,0.5736436,-0.98966765
AS601245,-0.36184683,-0.47973204,-0.90168625,0.24406825,-0.028128183,1.843355,0.28755733,-0.39730263,1.474069,-0.26558813,-0.6980793,0.25893587,1.0263243,-0.011066907,0.31730193,0.4052682,-0.44853282,0.040282164,1.6400605,0.6039993,-0.59617,0.009750823,-0.7877569,0.12648386,2.4535449,0.09152411,-0.068209246,-0.29668242,0.12194399,-0.8759707,0.4049622,-0.9265173
AS605240,-0.39939064,-0.5068571,-0.9515652,0.34701708,-0.019502176,1.9536535,0.32007626,-0.4663194,1.4969249,-0.25741547,-0.72078407,0.32725462,1.2692871,0.03972047,0.24394053,0.36637667,-0.55449957,0.08642513,1.6599655,0.75993687,-0.6590223,0.010714331,-0.81667,0.18131696,2.5715857,0.12360963,-0.04672713,-0.26343805,0.0012538593,-0.9725117,0.29553524,-1.0154756
ASLAN002,-0.35850117,-0.3611214,-0.91820467,0.3653945,-0.028139723,2.1176937,0.2961777,-0.4275922,1.5333297,-0.27212933,-0.6747369,0.33746538,1.3271632,0.023191607,0.28560397,0.3975262,-0.5140773,0.104806215,1.7528381,0.7809753,-0.6321596,0.0026450683,-0.82640105,0.19276653,2.8046644,0.117671065,-0.06391266,-0.28081903,0.18259004,-0.7941923,0.46484628,-0.99991685
AST-1306,-0.36094525,-0.4229477,-0.99181986,0.36474437,-0.023185184,2.135738,0.30081195,-0.37189704,1.5456425,-0.25609028,-0.697626,0.3329545,1.2966036,0.011118989,0.29058734,0.39821744,-0.5109636,0.0895957,1.7693684,0.7820202,-0.62230015,0.028717417,-0.8930485,0.17430495,2.7985609,0.13252045,-0.046906233,-0.2657915,0.034932517,-0.7746841,0.34122324,-1.0219053
AT-7519,-0.3585012,-0.41191584,-0.954993,0.3845831,-0.03104103,2.1805744,0.31177863,-0.42724785,1.5693133,-0.2768155,-0.756029,0.33707812,1.3286746,0.0030793056,0.37948877,0.40093094,-0.51407737,0.08206032,1.7864696,0.81134707,-0.6311828,-0.013165265,-0.84912324,0.16787724,2.8389049,0.117061876,-0.07858433,-0.2902755,0.16473553,-0.88187045,0.5778172,-0.99991685
AT13148,-0.41669315,-0.41136688,-0.98277056,0.38694593,-0.0013068576,2.19324,0.33438873,-0.392467,1.5939091,-0.26832482,-0.70912296,0.3271814,1.2835075,0.013399717,0.30377665,0.4615063,-0.56567,0.073263325,1.8653505,0.81002647,-0.6774876,-0.035099957,-1.0024196,0.15490782,2.7859855,0.13332982,-0.05643606,-0.2807952,0.15789178,-0.77573085,0.41800794,-1.1783825
AT7867,-0.5082574,-0.41773984,-0.9789465,0.38694602,0.0465428,2.19324,0.3502645,-0.5645995,1.593909,-0.26832482,-0.70706236,0.32718134,1.2835075,0.013399714,0.42712376,0.4615062,-0.62646246,0.0732634,1.8388178,0.81002647,-0.7296839,-0.035099946,-1.0168945,0.15490784,2.7859857,0.13332981,-0.05357563,-0.2770984,0.1588623,-0.9491963,0.5669077,-1.3432873
Avagacestat,-0.3708775,-0.5108941,-0.9886041,0.5010821,-0.0053929393,2.4660156,0.2971319,-0.3929887,1.593909,-0.24756631,-0.71958977,0.3746243,1.594959,0.048655536,0.25862733,0.46150622,-0.52890044,0.10182712,2.025297,0.9534062,-0.63379717,0.017322427,-0.925118,0.29998672,3.2434862,0.10968461,-0.05679186,-0.27972284,0.19771628,-0.84276193,0.3907025,-1.0613935
AX15836,-0.37386322,-0.3487136,-0.91875714,0.5140332,0.0116478065,2.659817,0.3310296,-0.431214,1.7662811,-0.26682034,-0.65520823,0.4560035,1.7422413,0.08621731,0.42699656,0.41622886,-0.51674044,0.08862567,2.1270049,1.0857033,-0.62447685,0.06005604,-0.8162171,0.27692327,3.416333,0.10285353,-0.06122806,-0.2560506,0.19900979,-0.7941923,0.6372105,-1.0067003
Axitinib,-0.37310162,-0.41924623,-0.9920267,0.26354298,-0.028817318,1.8744752,0.307496,-0.40187773,1.4198921,-0.26774743,-0.69847167,0.25356254,1.0338898,-0.028866533,0.3129912,0.39552298,-0.52001894,0.0043248427,1.6407661,0.61807686,-0.63205236,0.013409917,-0.8867557,0.12109484,2.4477172,0.14213684,-0.057184182,-0.25475696,0.08359042,-0.79609895,0.36387053,-1.0269674
AZ191,-0.48915458,-0.3487136,-0.9526766,0.21680635,-0.0031864585,1.8818154,0.3099285,-0.41950008,1.2963401,-0.26122773,-0.6384666,0.1927642,0.8648553,-0.039159816,0.38322696,0.38641113,-0.54981667,-0.07717382,1.8528585,0.5470755,-0.62447685,0.037712883,-0.96568084,0.067018084,2.244432,0.14191464,-0.03953657,-0.2549295,0.18876901,-0.8012898,0.6352016,-1.2456558
AZ20,-0.48856387,-0.35846958,-0.9671836,0.48771277,-0.010301439,2.6461482,0.35844192,-0.44823778,1.728736,-0.25164786,-0.6366893,0.42206436,1.6777176,0.07534743,0.3124246,0.4120521,-0.5441686,0.07306592,2.1590605,1.0422723,-0.61522603,0.081409074,-0.95729226,0.25782558,3.3816051,0.15107162,-0.038729366,-0.22247742,0.16314392,-0.762822,0.52700424,-1.218484
AZ6102,-0.3835151,-0.3517971,-0.92903703,0.18128891,-0.0028329052,1.8187302,0.33445203,-0.44613206,1.2619498,-0.25645876,-0.60936445,0.17802255,0.93713427,-0.098164044,0.32942033,0.40028465,-0.54580593,0.01937118,1.7958444,0.51189774,-0.6078837,0.04797758,-0.8517926,0.07620877,2.2255723,0.14971797,-0.04033624,-0.23102824,0.21322414,-0.7575033,0.5787776,-1.0341907
AZ628,-0.36460033,-0.37684822,-0.92337394,0.26339954,-0.010975173,2.0664587,0.32653433,-0.39381215,1.2685215,-0.2675291,-0.6127883,0.196124,0.97110045,-0.011423818,0.31111717,0.39008024,-0.44041672,0.03729823,1.8549532,0.6471652,-0.5939648,0.014916717,-0.8057966,0.13603503,2.5735228,0.12092208,-0.048348207,-0.26699838,0.18844123,-0.71481025,0.5225218,-0.9383351
AZ960,-0.375704,-0.38396642,-0.8754221,0.24568287,-0.014319538,1.7870641,0.3183678,-0.42184052,1.2475983,-0.28952715,-0.6245273,0.21574883,0.9879778,-0.022224206,0.26469746,0.40869167,-0.4551604,0.052571036,1.659372,0.5228387,-0.60562295,0.034655545,-0.75393,0.11963964,2.3094542,0.11415395,-0.06699718,-0.2916914,0.18303305,-0.7116897,0.43155614,-0.90653557
AZD0156,-0.40063292,-0.35483247,-0.948487,0.33538416,0.008390524,2.1310227,0.3103862,-0.4031361,1.2598948,-0.25454426,-0.6616535,0.18591918,0.9843319,-0.0288938,0.37059435,0.3800399,-0.5512467,0.00035200463,1.9445566,0.6884288,-0.65940076,0.060913906,-0.8580105,0.078675926,2.4927964,0.1527496,-0.026303647,-0.22470702,0.33027887,-0.7644227,0.65372276,-1.0487291
AZD1152-HQPA,-0.37033933,-0.3130878,-0.9961397,0.31589642,-0.023291485,2.0314903,0.3090271,-0.38720763,1.2192346,-0.25464317,-0.64291036,0.20864637,1.0174792,-0.017128827,0.28130868,0.37251976,-0.52200824,-0.0031468384,1.8594542,0.63462746,-0.61472017,0.024042135,-0.9109432,0.12249261,2.4506183,0.13180472,-0.05223182,-0.25957742,0.30686614,-0.75704783,0.60927504,-1.0501763
AZD1208,-0.39939064,-0.38480654,-0.9515652,0.3470172,-0.0017143363,1.9536536,0.3262829,-0.4385974,1.4969249,-0.26840532,-0.6737619,0.32725465,1.2692871,0.03972042,0.38310304,0.40172553,-0.55449957,0.0864251,1.8074673,0.75993687,-0.6414165,0.019820679,-0.81667,0.18131688,2.5715857,0.13202368,-0.04246407,-0.27425206,0.19125022,-0.79243463,0.57814544,-1.0154756
AZD1332,-0.40124404,-0.34363905,-1.0237669,0.36306158,-0.038586546,2.1151989,0.30616367,-0.41714695,1.5413902,-0.2831672,-0.64730203,0.3368161,1.3234489,0.021276053,0.22724968,0.40223998,-0.52685505,0.097024985,1.8619705,0.772599,-0.6480278,0.007896948,-0.93488437,0.18021737,2.7988622,0.12791215,-0.07662194,-0.29440287,0.24444364,-0.73501533,0.57130635,-1.1209257
AZD1390,-0.38633364,-0.31460497,-0.95394,0.29501057,0.005966559,2.0036087,0.3204708,-0.4383302,1.2211623,-0.25309706,-0.63610613,0.18591921,0.95902705,-0.05438622,0.42053744,0.3640973,-0.5342267,0.0014432968,1.8353572,0.6187458,-0.63257873,0.07383775,-0.86192983,0.09072102,2.3590446,0.15655522,-0.020846432,-0.22469422,0.27120048,-0.7457345,0.6487814,-1.0493376
AZD1480,-0.3914277,-0.39576957,-0.9457363,0.36306155,-0.039498344,2.1151989,0.31058064,-0.42819446,1.5413905,-0.2877417,-0.62452734,0.33681616,1.3234489,0.021276006,0.26469752,0.40869167,-0.54072714,0.09702499,1.7624044,0.772599,-0.6565266,0.010365196,-0.932431,0.18021737,2.7988622,0.11415392,-0.08605764,-0.31052384,0.1732335,-0.7261214,0.39044198,-1.1142288
AZD1775,-0.38879627,-0.3487136,-0.93356514,0.28140798,-0.024227224,2.1896417,0.33135095,-0.37889212,1.3027481,-0.2624238,-0.65520823,0.16998914,1.0722207,-0.026383799,0.38861132,0.390329,-0.5410692,-2.8759096e-06,2.017361,0.6569351,-0.62447685,0.07909382,-0.8442597,0.07414146,2.722328,0.12733936,-0.046127748,-0.23788597,0.2098265,-0.7516443,0.63520163,-1.038793
AZD2014,-0.3764382,-0.35846958,-0.9671836,0.25224227,-0.009334478,1.8123856,0.32963756,-0.40187773,1.2352705,-0.24601594,-0.6366893,0.20135106,1.0079565,-0.02886653,0.3092822,0.35867026,-0.52298546,0.0037915625,1.7525072,0.5978005,-0.61522603,0.08449286,-0.89082485,0.123473376,2.3414955,0.13384281,-0.039254982,-0.22047164,0.16314392,-0.762822,0.5241257,-1.0320752
AZD3514,-0.35217962,-0.42030045,-1.0006334,0.48929736,0.02294587,2.2437649,0.31657398,-0.39577302,1.3146424,-0.26042384,-0.71923834,0.20991074,1.505507,-0.026581189,0.43102953,0.36276132,-0.5456392,0.0627366,1.9267683,0.7293726,-0.6377765,0.059219297,-0.94093597,0.29220697,3.1187344,0.09127511,-0.06318351,-0.2759446,0.16005889,-0.81695694,0.5785822,-1.0941368
AZD3759,-0.35453078,-0.35432202,-0.96536773,0.39665133,-0.014680134,2.1844573,0.33015952,-0.4195,1.5481832,-0.25464314,-0.63048184,0.33349016,1.3552859,0.017350955,0.34783837,0.41377503,-0.50305086,0.09415345,1.8409061,0.8047044,-0.60629594,0.046696372,-0.84468913,0.18115562,2.8486142,0.1351871,-0.04632981,-0.2595774,0.19255847,-0.7473945,0.6164527,-0.9856194
AZD4205,-0.36113444,-0.3487136,-0.9717152,0.230132,-0.006422853,1.8901976,0.32444116,-0.40902358,1.2815506,-0.26122776,-0.65520823,0.1991907,1.0072552,-0.03902406,0.3621685,0.40372813,-0.51224077,0.011246143,1.8634025,0.58455557,-0.62447685,0.037712842,-0.8988837,0.12167798,2.3373725,0.16568886,-0.04186892,-0.24256259,0.19900978,-0.711679,0.6372105,-1.0212573
AZD4547,-0.36460036,-0.35179704,-0.96684664,0.22422546,0.010126778,1.8187304,0.33445206,-0.41975555,1.2554008,-0.27510765,-0.6346545,0.19560839,0.9782503,-0.035204798,0.34720632,0.3632218,-0.5186484,0.011602644,1.7958443,0.55206275,-0.6078837,-0.019124575,-0.860535,0.114196755,2.2764468,0.11267135,-0.061684735,-0.29481113,0.21322414,-0.76245886,0.5787776,-1.0081838
AZD4877,-0.3653649,-0.29514062,-0.9245271,0.31305566,-0.012115037,2.0342636,0.31423733,-0.40247735,1.4583987,-0.2801829,-0.6065407,0.27558774,1.0539422,-0.021059707,0.36714098,0.42916015,-0.50460094,0.062377438,1.866819,0.63728875,-0.6085284,0.018568212,-0.8370771,0.10849613,2.5015898,0.08664902,-0.06693024,-0.29388627,0.34519073,-0.7289628,0.64585614,-1.001301
AZD5363,-0.36606592,-0.4118959,-0.9913496,0.38694602,-0.008321821,2.1932397,0.3477845,-0.39144954,1.5939089,-0.25578317,-0.6844474,0.32718137,1.2835075,0.013399714,0.3661429,0.46150622,-0.51176864,0.0732634,1.9082736,0.8100265,-0.626879,0.017338727,-0.888988,0.15490784,2.7859855,0.14318635,-0.057962667,-0.2653928,0.17804252,-0.77568257,0.5489544,-1.0268116
AZD5438,-0.48851684,-0.31460503,-0.95513636,0.5148292,-0.027635623,2.6763508,0.32086262,-0.4383303,1.7621394,-0.2614742,-0.63610613,0.44974947,1.7306951,0.07419787,0.25477937,0.44682682,-0.5342267,0.08247616,2.1475856,1.0794529,-0.63257873,0.03740153,-0.9653634,0.26878798,3.4111278,0.1210359,-0.055815518,-0.25563163,0.28162625,-0.74573445,0.60764533,-1.2263595
AZD5582,-0.35902083,-0.37985283,-0.95423466,0.25059623,0.019912519,1.9613825,0.3460076,-0.39821064,1.1629539,-0.28155977,-0.6800009,0.20741834,1.0560861,-0.03962584,0.43542144,0.37896937,-0.50687003,0.014811454,1.7574074,0.6396878,-0.6212522,-0.03429408,-0.8568136,0.12559484,2.4187572,0.14146186,-0.06412506,-0.3098316,0.25021824,-0.7122598,0.6722141,-0.9993457
